index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec
6126894,synthetic_4,84,1750890511.3247056,1751154089.4319642,263578.1072585583
6126904,synthetic_4,83,1750890511.3248515,1751154089.4319701,263578.10711860657
6126914,synthetic_4,83,1750890511.3250012,1751154089.4319766,263578.106975317
6126924,synthetic_4,81,1750890511.32515,1751154089.4319825,263578.1068325043
5722024,synthetic_4,97,1750890511.423046,1751154089.4319885,263578.00894236565
5722034,synthetic_4,88,1750890511.423452,1751154089.431995,263578.0085430145
6126934,synthetic_4,104,1750890511.325303,1751154089.432001,263578.1066980362
6126944,synthetic_4,94,1750890511.3254461,1751154089.432007,263578.1065609455
6126954,synthetic_4,97,1750890511.3255928,1751154089.4320138,263578.1064209938
6126964,synthetic_4,90,1750890511.3257387,1751154089.4320202,263578.10628151894
6126974,synthetic_4,80,1750890511.3258786,1751154089.4320266,263578.10614800453
6126984,synthetic_4,84,1750890511.3260243,1751154089.4320328,263578.10600852966
6126994,synthetic_4,90,1750890511.3261693,1751154089.4320405,263578.10587120056
6127004,synthetic_4,91,1750890511.3263116,1751154089.4320467,263578.10573506355
6127014,synthetic_4,98,1750890511.3264604,1751154089.4320533,263578.1055929661
6127024,synthetic_4,97,1750890511.3266027,1751154089.4320593,263578.10545659065
6127034,synthetic_4,97,1750890511.3267486,1751154089.4320657,263578.1053171158
6127044,synthetic_4,88,1750890511.326889,1751154089.4320722,263578.10518312454
6127054,synthetic_4,96,1750890511.3270364,1751154089.4320784,263578.10504198074
6127064,synthetic_4,90,1750890511.3271818,1751154089.4320846,263578.1049027443
6127074,synthetic_4,89,1750890511.32733,1751154089.4320912,263578.10476112366
6127084,synthetic_4,96,1750890511.3274763,1751154089.4320984,263578.1046221256
6127094,synthetic_4,83,1750890511.327622,1751154089.4321046,263578.10448265076
6127104,synthetic_4,97,1750890511.3277678,1751154089.432111,263578.1043431759
6127114,synthetic_4,103,1750890511.3279166,1751154089.4321175,263578.10420084
6127124,synthetic_4,84,1750890511.4204626,1751154089.4321258,263578.0116631985
6127134,synthetic_4,89,1750890511.4207985,1751154089.4321322,263578.011333704
6127144,synthetic_4,93,1750890511.42105,1751154089.4321384,263578.0110883713
6127154,synthetic_4,105,1750890511.4215536,1751154089.4321449,263578.01059126854
6127164,synthetic_4,95,1750890511.4218307,1751154089.4321525,263578.01032185555
6127174,synthetic_4,101,1750890511.422087,1751154089.4321606,263578.0100736618
6127184,synthetic_4,83,1750890511.4225767,1751154089.432167,263578.00959038734
6127194,synthetic_4,84,1750890511.4228296,1751154089.432175,263578.00934529305
6127204,synthetic_4,104,1750890511.4231184,1751154089.4321816,263578.00906324387
6127214,synthetic_4,89,1750890511.4233782,1751154089.4321878,263578.0088095665
6127224,synthetic_4,84,1750890511.4239016,1751154089.4321942,263578.008292675
6127234,synthetic_4,98,1750890511.4241962,1751154089.4322004,263578.00800418854
5722044,synthetic_4,97,1750890511.4238288,1751154089.432208,263578.00837922096
5722054,synthetic_4,88,1750890511.4242127,1751154089.4322145,263578.00800180435
6127244,synthetic_4,91,1750890511.4245172,1751154089.4322207,263578.0077035427
6127254,synthetic_4,91,1750890511.4247105,1751154089.4322271,263578.00751662254
5722064,synthetic_4,102,1750890511.4245498,1751154089.4322333,263578.00768351555
6127264,synthetic_4,98,1750890511.4248598,1751154089.4322412,263578.0073814392
5722074,synthetic_4,90,1750890511.4247773,1751154089.4322476,263578.00747036934
5722084,synthetic_4,97,1750890511.4250076,1751154089.4322543,263578.0072467327
5722094,synthetic_4,89,1750890511.4252381,1751154089.4322605,263578.0070223808
5722104,synthetic_4,90,1750890511.425457,1751154089.432267,263578.0068099499
5722114,synthetic_4,96,1750890511.4256787,1751154089.4322731,263578.0065944195
5722124,synthetic_4,84,1750890511.4259117,1751154089.4322796,263578.00636792183
5722134,synthetic_4,91,1750890511.4261367,1751154089.4322858,263578.0061490536
5722144,synthetic_4,82,1750890511.4263735,1751154089.432294,263578.00592041016
5722154,synthetic_4,104,1750890511.4266078,1751154089.4323,263578.0056922436
5722164,synthetic_4,83,1750890511.4268432,1751154089.4323065,263578.00546336174
5722174,synthetic_4,84,1750890511.4270754,1751154089.4323125,263578.0052371025
5722184,synthetic_4,83,1750890511.4273098,1751154089.4323184,263578.0050086975
5722194,synthetic_4,83,1750890511.4275377,1751154089.4323244,263578.0047867298
5722204,synthetic_4,105,1750890511.4277713,1751154089.4323308,263578.0045595169
6127274,synthetic_4,81,1750890511.425021,1751154089.432337,263578.0073161125
5722214,synthetic_4,104,1750890511.4279933,1751154089.4323432,263578.004349947
6127284,synthetic_4,104,1750890511.425199,1751154089.4323497,263578.00715065
5722224,synthetic_4,104,1750890511.4282348,1751154089.432356,263578.00412130356
6127294,synthetic_4,81,1750890511.425362,1751154089.4323626,263578.0070004463
