index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec,merge_timestamp,end_to_end_delay,is_late,is_out_of_order,is_duplicate,is_missing_critical,source_file
2802945,synthetic_5,104,1750889514.5278285,1751153625.2943769,264110.7665483952,1751153627.2749171,1.9805402755737305,1751153633.5301497,264119.0023212433,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802955,synthetic_5,105,1750889514.5280657,1751153625.2943833,264110.766317606,1751153627.2749171,1.9805338382720947,1751153633.5301497,264119.0020840168,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802965,synthetic_5,105,1750889514.5283031,1751153625.2943895,264110.76608633995,1751153627.2749171,1.980527639389038,1751153633.5301497,264119.0018465519,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802975,synthetic_5,104,1750889514.6181471,1751153625.2943957,264110.6762485504,1751153627.2749171,1.9805214405059812,1751153633.5301497,264118.9120025635,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802985,synthetic_5,101,1750889514.6185532,1751153625.294402,264110.67584872246,1751153627.2749171,1.9805152416229248,1751153633.5301497,264118.91159653664,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2802995,synthetic_5,104,1750889514.6189992,1751153625.294408,264110.6754088402,1751153627.2749171,1.980509042739868,1751153633.5301497,264118.9111504555,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803005,synthetic_5,96,1750889514.6194327,1751153625.2944143,264110.6749815941,1751153627.2749171,1.9805028438568115,1751153633.5301497,264118.9107170105,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803015,synthetic_5,99,1750889514.6199052,1751153625.2944205,264110.67451524734,1751153627.2749171,1.9804966449737549,1751153633.5301497,264118.9102444649,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803025,synthetic_5,95,1750889514.6205986,1751153625.294427,264110.6738283634,1751153627.2749171,1.9804902076721191,1751153633.5301497,264118.90955114365,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803035,synthetic_5,89,1750889514.621388,1751153625.2944329,264110.67304492,1751153627.2749171,1.9804842472076416,1751153633.5301497,264118.90876173973,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803045,synthetic_5,91,1750889514.6218855,1751153625.2944388,264110.67255330086,1751153627.2749171,1.980478286743164,1751153633.5301497,264118.90826416016,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803055,synthetic_5,96,1750889514.622404,1751153625.2944448,264110.6720407009,1751153627.2749171,1.9804723262786863,1751153633.5301497,264118.90774559975,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803065,synthetic_5,101,1750889514.62288,1751153625.2944512,264110.6715712548,1751153627.2749171,1.9804658889770508,1751153633.5301497,264118.90726971626,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803075,synthetic_5,88,1750889514.623403,1751153625.2944572,264110.67105412483,1751153627.2749171,1.9804599285125728,1751153633.5301497,264118.9067466259,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803085,synthetic_5,90,1750889514.6237562,1751153625.294463,264110.67070674896,1751153627.2749171,1.9804542064666748,1751153633.5301497,264118.906393528,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803095,synthetic_5,90,1750889514.6241512,1751153625.294469,264110.67031788826,1751153627.2749171,1.9804480075836184,1751153633.5301497,264118.9059984684,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803105,synthetic_5,90,1750889514.6245086,1751153625.2944753,264110.6699666977,1751153627.2749171,1.9804418087005613,1751153633.5301497,264118.90564107895,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803115,synthetic_5,83,1750889514.624727,1751153625.2944815,264110.6697545052,1751153627.2749171,1.9804356098175049,1751153633.5301497,264118.90542268753,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803125,synthetic_5,102,1750889514.624945,1751153625.2944872,264110.6695423126,1751153627.2749171,1.9804298877716064,1751153633.5301497,264118.90520477295,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803135,synthetic_5,88,1750889514.625157,1751153625.2944934,264110.66933631897,1751153627.2749171,1.9804236888885496,1751153633.5301497,264118.9049925804,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803145,synthetic_5,105,1750889514.6253922,1751153625.2944996,264110.66910743713,1751153627.2749171,1.9804174900054927,1751153633.5301497,264118.9047574997,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803155,synthetic_5,104,1750889514.6257887,1751153625.2945058,264110.6687171459,1751153627.2749171,1.9804112911224363,1751153633.5301497,264118.9043610096,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803165,synthetic_5,84,1750889514.6260247,1751153625.2945118,264110.668487072,1751153627.2749171,1.980405330657959,1751153633.5301497,264118.9041249752,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803175,synthetic_5,97,1750889514.6262624,1751153625.294518,264110.66825556755,1751153627.2749171,1.9803991317749023,1751153633.5301497,264118.9038872719,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803185,synthetic_5,103,1750889514.6264975,1751153625.2945242,264110.6680264473,1751153627.2749171,1.9803929328918457,1751153633.5301497,264118.90365219116,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803195,synthetic_5,88,1750889514.626724,1751153625.2945306,264110.66780662537,1751153627.2749171,1.98038649559021,1751153633.5301497,264118.9034256935,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2922815,synthetic_5,102,1750889514.7214646,1751153625.2945366,264110.57307195663,1751153627.2749171,1.9803805351257324,1751153633.5301497,264118.8086850643,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2922825,synthetic_5,104,1750889514.7218776,1751153625.2945433,264110.5726656914,1751153627.2749171,1.9803738594055176,1751153633.5301497,264118.80827212334,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2922835,synthetic_5,105,1750889514.7223158,1751153625.2945497,264110.5722339153,1751153627.2749171,1.9803674221038816,1751153633.5301497,264118.80783391,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803205,synthetic_5,104,1750889514.6269662,1751153625.294556,264110.66758966446,1751153627.2749171,1.9803612232208248,1751153633.5301497,264118.90318346024,False,True,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2922845,synthetic_5,90,1750889514.7227657,1751153625.2945623,264110.57179665565,1751153627.2749171,1.9803547859191892,1751153633.5301497,264118.80738401413,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803215,synthetic_5,94,1750889514.6272,1751153625.2945683,264110.66736865044,1751153627.2749171,1.980348825454712,1751153633.5301497,264118.90294981,False,True,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803225,synthetic_5,91,1750889514.6274345,1751153625.2945745,264110.667140007,1751153627.2749171,1.9803426265716555,1751153633.5301497,264118.90271520615,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2922855,synthetic_5,84,1750889514.7230322,1751153625.2945805,264110.5715482235,1751153627.2749171,1.9803366661071775,1751153633.5301497,264118.80711746216,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803235,synthetic_5,102,1750889514.6276877,1751153625.2945864,264110.66689896584,1751153627.2749171,1.9803307056427,1751153633.5301497,264118.9024620056,False,True,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803245,synthetic_5,90,1750889514.6279209,1751153625.2945929,264110.66667199135,1751153627.2749171,1.9803242683410645,1751153633.5301497,264118.90222883224,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803255,synthetic_5,103,1750889514.6281517,1751153625.2945988,264110.6664471626,1751153627.2749171,1.980318307876587,1751153633.5301497,264118.90199804306,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803265,synthetic_5,91,1750889514.6283772,1751153625.2946053,264110.66622805595,1751153627.2749171,1.9803118705749512,1751153633.5301497,264118.9017724991,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803275,synthetic_5,104,1750889514.718575,1751153625.2946112,264110.5760362148,1751153627.2749171,1.9803059101104736,1751153633.5301497,264118.8115746975,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803285,synthetic_5,90,1750889514.7189722,1751153625.2946174,264110.5756452084,1751153627.2749171,1.980299711227417,1751153633.5301497,264118.81117749214,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803295,synthetic_5,101,1750889514.71939,1751153625.2946234,264110.5752334595,1751153627.2749171,1.9802937507629397,1751153633.5301497,264118.8107597828,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803305,synthetic_5,97,1750889514.7197206,1751153625.2946296,264110.5749089718,1751153627.2749171,1.9802875518798828,1751153633.5301497,264118.8104290962,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803315,synthetic_5,89,1750889514.7202802,1751153625.294636,264110.5743558407,1751153627.2749171,1.980281114578247,1751153633.5301497,264118.8098695278,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
2803325,synthetic_5,101,1750889514.720805,1751153625.2946422,264110.5738372803,1751153627.2749171,1.9802749156951904,1751153633.5301497,264118.8093447685,False,False,False,False,consumer_pod0_proc1_20250628_233345_295789.csv
1966145,synthetic_5,89,1750889231.719406,1751153627.526628,264395.8072218895,1751153629.5169578,1.9903297424316408,1751153633.5301497,264401.81074380875,False,True,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966155,synthetic_5,96,1750889231.719906,1751153627.5266576,264395.80675148964,1751153629.5169578,1.990300178527832,1751153633.5301497,264401.81024360657,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966165,synthetic_5,102,1750889231.7202027,1751153627.5266664,264395.8064637184,1751153629.5169578,1.9902913570404053,1751153633.5301497,264401.80994701385,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966175,synthetic_5,89,1750889231.7204676,1751153627.5266817,264395.80621409416,1751153629.5169578,1.9902760982513428,1751153633.5301497,264401.8096821308,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966185,synthetic_5,83,1750889231.720916,1751153627.5266886,264395.8057725429,1751153629.5169578,1.9902691841125488,1751153633.5301497,264401.80923366547,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966195,synthetic_5,103,1750889231.721396,1751153627.5266953,264395.8052992821,1751153629.5169578,1.990262508392334,1751153633.5301497,264401.80875372887,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966205,synthetic_5,91,1750889231.7217567,1751153627.526702,264395.8049452305,1751153629.5169578,1.9902558326721191,1751153633.5301497,264401.80839300156,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966215,synthetic_5,105,1750889231.722108,1751153627.526708,264395.8046000004,1751153629.5169578,1.9902498722076416,1751153633.5301497,264401.808041811,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966225,synthetic_5,97,1750889231.7224364,1751153627.5267148,264395.8042783737,1751153629.5169578,1.990242958068848,1751153633.5301497,264401.8077132702,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966235,synthetic_5,104,1750889231.722736,1751153627.5267217,264395.8039855957,1751153629.5169578,1.9902360439300537,1751153633.5301497,264401.80741381645,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966245,synthetic_5,97,1750889231.7230682,1751153627.5267282,264395.8036599159,1751153629.5169578,1.990229606628418,1751153633.5301497,264401.80708146095,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966255,synthetic_5,90,1750889231.7234228,1751153627.526736,264395.8033132553,1751153629.5169578,1.990221738815308,1751153633.5301497,264401.8067269325,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966265,synthetic_5,98,1750889231.7235978,1751153627.5267425,264395.8031446934,1751153629.5169578,1.990215301513672,1751153633.5301497,264401.8065519333,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966275,synthetic_5,84,1750889231.7237546,1751153627.526749,264395.80299425125,1751153629.5169578,1.990208864212036,1751153633.5301497,264401.80639505386,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966285,synthetic_5,84,1750889231.7239225,1751153627.526755,264395.8028328419,1751153629.5169578,1.9902026653289795,1751153633.5301497,264401.8062272072,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966295,synthetic_5,91,1750889231.7240794,1751153627.5267615,264395.80268216133,1751153629.5169578,1.990196228027344,1751153633.5301497,264401.80607032776,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966305,synthetic_5,98,1750889231.7242365,1751153627.5267675,264395.8025312424,1751153629.5169578,1.9901902675628664,1751153633.5301497,264401.8059132099,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966315,synthetic_5,105,1750889231.7243917,1751153627.5267742,264395.8023824692,1751153629.5169578,1.9901835918426516,1751153633.5301497,264401.8057579994,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966325,synthetic_5,84,1750889231.7245758,1751153627.5267806,264395.80220484734,1751153629.5169578,1.990177154541016,1751153633.5301497,264401.8055739403,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966335,synthetic_5,91,1750889231.7247405,1751153627.526787,264395.8020467758,1751153629.5169578,1.99017071723938,1751153633.5301497,264401.80540919304,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966345,synthetic_5,88,1750889231.7249086,1751153627.5267937,264395.8018848896,1751153629.5169578,1.990164041519165,1751153633.5301497,264401.80524110794,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966355,synthetic_5,104,1750889231.725085,1751153627.5268002,264395.8017151356,1751153629.5169578,1.9901576042175293,1751153633.5301497,264401.8050646782,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966365,synthetic_5,91,1750889231.7252493,1751153627.5268068,264395.8015575409,1751153629.5169578,1.9901509284973145,1751153633.5301497,264401.8049004078,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966375,synthetic_5,95,1750889231.725423,1751153627.5268166,264395.8013935089,1751153629.5169578,1.9901411533355715,1751153633.5301497,264401.80472660065,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966385,synthetic_5,97,1750889231.7255864,1751153627.5268247,264395.8012382984,1751153629.5169578,1.9901330471038816,1751153633.5301497,264401.8045632839,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966395,synthetic_5,104,1750889231.7257528,1751153627.526833,264395.8010802269,1751153629.5169578,1.9901247024536133,1751153633.5301497,264401.80439686775,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
1966405,synthetic_5,83,1750889231.7259128,1751153627.52684,264395.80092716217,1751153629.5169578,1.9901177883148196,1751153633.5301497,264401.8042368889,False,False,False,False,consumer_pod0_proc1_20250628_233347_530977.csv
