pod,traffic_mode,topics,window_total,window_viol,msg_rate_window,lat_window_seconds,lat_count_window,lat_p95_ms,lat_p99_ms,cpu_percent,mem_percent,uptime_sec,total_lag,max_lag,lag_skew_ratio,consumed_total,file,t_bucket
consumer-sts-0,skew,B0-R100-20260224-010807_0,404,25,6.733333,30.0,183,1363.812,2259.826,6.4,14.6,1741.714,2.0,1.0,3.5,12188,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1740
consumer-sts-0,skew,B0-R100-20260224-010807_0,389,21,6.483333,30.0,204,754.3,1139.292,6.3,14.6,1771.744,3.0,2.0,4.666667,12392,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1770
consumer-sts-0,skew,B0-R100-20260224-010807_0,439,22,7.316667,30.0,234,865.279,1225.499,7.4,14.6,1801.774,5.0,2.0,2.8,12626,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1800
consumer-sts-0,skew,B0-R100-20260224-010807_0,469,22,7.816667,30.0,235,571.975,1193.788,8.0,14.6,1831.805,2.0,1.0,3.5,12861,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1830
consumer-sts-0,skew,B0-R100-20260224-010807_0,434,20,7.233333,30.0,194,887.462,1464.572,7.1,14.6,1861.834,10.0,3.0,2.1,13055,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1860
consumer-sts-0,skew,B0-R100-20260224-010807_0,391,13,6.516667,30.0,197,318.923,771.039,6.1,14.6,1891.862,2.0,1.0,3.5,13252,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1890
consumer-sts-0,skew,B0-R100-20260224-010807_0,405,8,6.75,30.0,208,498.842,1076.686,7.5,14.6,1921.89,9.0,3.0,2.333333,13460,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1920
consumer-sts-0,skew,B0-R100-20260224-010807_0,435,19,7.25,30.0,223,973.992,1432.707,6.6,14.6,1951.92,7.0,3.0,3.0,13683,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1950
consumer-sts-0,skew,B0-R100-20260224-010807_0,434,24,7.233333,30.0,210,781.187,1310.161,6.8,14.6,1981.951,8.0,3.0,2.625,13893,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,1980
consumer-sts-0,skew,B0-R100-20260224-010807_0,450,22,7.5,30.0,240,779.906,1444.818,7.0,14.6,2011.982,5.0,2.0,2.8,14133,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2010
consumer-sts-0,skew,B0-R100-20260224-010807_0,479,22,7.983333,30.0,239,746.001,1571.148,9.0,14.6,2042.012,6.0,2.0,2.333333,14372,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2040
consumer-sts-0,skew,B0-R100-20260224-010807_0,446,29,7.433333,30.0,205,1051.505,1389.641,6.7,14.6,2072.043,6.0,4.0,4.666667,14577,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2070
consumer-sts-0,skew,B0-R100-20260224-010807_0,421,30,7.016667,30.0,215,873.416,1414.797,7.0,14.6,2102.074,9.0,5.0,3.888889,14792,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2100
consumer-sts-0,skew,B0-R100-20260224-010807_0,425,25,7.083333,30.0,210,1091.144,1471.94,7.8,14.6,2132.103,6.0,4.0,4.666667,15002,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2130
consumer-sts-0,skew,B0-R100-20260224-010807_0,425,24,7.083333,30.0,215,807.678,1184.804,7.7,14.6,2162.134,4.0,2.0,3.5,15217,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2160
consumer-sts-0,skew,B0-R100-20260224-010807_0,453,24,7.55,30.0,238,1034.46,1692.2,6.2,14.6,2192.162,7.0,3.0,3.0,15455,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2190
consumer-sts-0,skew,B0-R100-20260224-010807_0,468,21,7.8,30.0,229,616.056,1216.639,6.7,14.6,2222.192,8.0,2.0,1.75,15685,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2220
consumer-sts-0,skew,B0-R100-20260224-010807_0,436,11,7.266667,30.0,195,63.738,674.625,6.7,14.6,2252.223,0.0,0.0,0.0,15881,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2250
consumer-sts-0,skew,B0-R100-20260224-010807_0,405,11,6.75,30.0,196,412.164,1690.229,7.7,14.6,2282.25,6.0,2.0,2.333333,16077,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2280
consumer-sts-0,skew,B0-R100-20260224-010807_0,387,15,6.45,30.0,187,542.729,1673.064,6.7,14.6,2312.279,4.0,3.0,5.25,16267,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2310
consumer-sts-0,skew,B0-R100-20260224-010807_0,415,25,6.916667,30.0,223,934.916,1150.051,7.1,14.6,2342.31,5.0,2.0,2.8,16492,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2340
consumer-sts-0,skew,B0-R100-20260224-010807_0,405,27,6.75,30.0,179,968.531,1192.942,6.1,14.6,2372.323,7.0,3.0,3.0,16672,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2370
consumer-sts-0,skew,B0-R100-20260224-010807_0,414,27,6.9,30.0,227,835.309,1371.659,6.6,14.6,2402.354,3.0,1.0,2.333333,16899,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2400
consumer-sts-0,skew,B0-R100-20260224-010807_0,464,45,7.733333,30.0,237,1517.409,1985.374,7.5,14.6,2432.387,4.0,2.0,3.5,17136,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2430
consumer-sts-0,skew,B0-R100-20260224-010807_0,438,36,7.3,30.0,198,361.146,1165.507,6.9,14.6,2462.418,7.0,2.0,2.0,17335,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2460
consumer-sts-0,skew,B0-R100-20260224-010807_0,433,16,7.216667,30.0,216,345.95,995.104,6.6,14.6,2492.449,1.0,1.0,7.0,17554,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2490
consumer-sts-0,skew,B0-R100-20260224-010807_0,465,13,7.75,30.0,250,671.331,992.062,10.1,14.8,2522.478,9.0,3.0,2.333333,17804,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2520
consumer-sts-0,skew,B0-R100-20260224-010807_0,456,14,7.6,30.0,203,360.668,1223.66,7.3,14.8,2552.506,6.0,2.0,2.333333,18010,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2550
consumer-sts-0,skew,B0-R100-20260224-010807_0,409,19,6.816667,30.0,192,694.253,1368.374,7.9,14.8,2582.537,5.0,3.0,4.2,18202,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2580
consumer-sts-0,skew,B0-R100-20260224-010807_0,434,33,7.233333,30.0,242,1160.811,1675.718,7.2,14.8,2612.567,5.0,3.0,4.2,18444,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2610
consumer-sts-0,skew,B0-R100-20260224-010807_0,414,33,6.9,30.0,172,792.765,1717.233,7.3,14.6,2642.598,7.0,3.0,3.0,18616,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2640
consumer-sts-0,skew,B0-R100-20260224-010807_0,394,28,6.566667,30.0,210,791.902,1278.393,6.8,14.6,2672.626,8.0,2.0,1.75,18827,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2670
consumer-sts-0,skew,B0-R100-20260224-010807_0,437,34,7.283333,30.0,226,1406.673,1858.534,6.4,14.6,2702.654,4.0,2.0,3.5,19053,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2700
consumer-sts-0,skew,B0-R100-20260224-010807_0,427,29,7.116667,30.0,201,581.239,1733.031,5.9,14.6,2732.682,4.0,2.0,3.5,19254,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2730
consumer-sts-0,skew,B0-R100-20260224-010807_0,420,14,7.0,30.0,208,290.117,1253.224,6.4,14.6,2762.713,6.0,2.0,2.333333,19462,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2760
consumer-sts-0,skew,B0-R100-20260224-010807_0,419,22,6.983333,30.0,197,1178.52,1696.022,7.9,14.6,2792.742,6.0,2.0,2.333333,19659,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2790
consumer-sts-0,skew,B0-R100-20260224-010807_0,402,35,6.7,30.0,205,1158.642,1814.935,6.9,14.6,2822.77,5.0,2.0,2.8,19864,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2820
consumer-sts-0,skew,B0-R100-20260224-010807_0,409,23,6.816667,30.0,204,441.347,1091.959,6.4,14.6,2852.798,5.0,2.0,2.8,20068,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2850
consumer-sts-0,skew,B0-R100-20260224-010807_0,399,13,6.65,30.0,194,233.107,1089.261,6.8,14.6,2882.826,4.0,3.0,5.25,20263,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2880
consumer-sts-0,skew,B0-R100-20260224-010807_0,395,11,6.583333,30.0,196,434.098,847.87,6.4,14.6,2912.857,3.0,1.0,2.333333,20460,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2910
consumer-sts-0,skew,B0-R100-20260224-010807_0,429,10,7.15,30.0,232,191.89,1294.314,6.9,14.6,2942.888,5.0,1.0,1.4,20693,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2940
consumer-sts-0,skew,B0-R100-20260224-010807_0,475,20,7.916667,30.0,242,897.871,1089.679,6.4,14.6,2972.919,5.0,1.0,1.4,20935,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,2970
consumer-sts-0,skew,B0-R100-20260224-010807_0,468,34,7.8,30.0,225,1103.639,1429.31,7.0,14.6,3002.948,3.0,1.0,2.333333,21160,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3000
consumer-sts-0,skew,B0-R100-20260224-010807_0,441,31,7.35,30.0,216,612.053,1242.383,7.6,14.6,3032.978,9.0,4.0,3.111111,21376,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3030
consumer-sts-0,skew,B0-R100-20260224-010807_0,419,16,6.983333,30.0,203,463.481,1209.756,6.7,14.6,3063.006,3.0,1.0,2.333333,21580,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3060
