index,producer_timestamp,consumer_receive_timestamp,end_to_end_latency_seconds,size_bytes,msg_rate_per_sec,mb_rate_per_sec,is_out_of_order,is_duplicate,source_file,is_late,merge_timestamp,end_to_end_delay_ms
217174,1752520333.9244487,1752702159.8629248,181825.9384760857,b'136',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871210.68954468
219634,1752520333.9185324,1752702159.8629327,181825.9444003105,b'122',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871216.60590172
217184,1752520333.9594672,1752702159.8629432,181825.90347599983,b'122',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871175.67110062
219644,1752520333.9528491,1752702159.8629508,181825.91010165212,b'134',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871182.28912354
217194,1752520333.994473,1752702159.863,181825.8685269356,b'133',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871140.66529274
219654,1752520333.9872222,1752702159.8630073,181825.8757851124,b'143',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871147.91607857
217204,1752520334.0296762,1752702159.8630147,181825.83333849907,b'135',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871105.46207428
219664,1752520334.021542,1752702159.863022,181825.8414797783,b'139',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871113.59620094
217214,1752520334.0649269,1752702159.8630283,181825.7981014252,b'140',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871070.21141052
219674,1752520334.0559175,1752702159.8630354,181825.807117939,b'136',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871079.2207718
217224,1752520334.100031,1752702159.8630426,181825.7630119324,b'128',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871035.1073742
219684,1752520334.090258,1752702159.8630495,181825.7727918625,b'119',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871044.88039017
217234,1752520334.1351511,1752702159.863057,181825.72790575027,b'134',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870999.9871254
219694,1752520334.124564,1752702159.863063,181825.73849916455,b'127',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181871010.57434082
219704,1752520334.1589508,1752702159.8630702,181825.7041194439,b'135',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870976.18746758
217244,1752520334.1704097,1752702159.8630776,181825.69266796112,b'136',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870964.72859383
219714,1752520334.1932864,1752702159.8630848,181825.66979837415,b'121',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870941.85185432
217254,1752520334.205458,1752702159.863093,181825.65763497356,b'128',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870929.68034744
219724,1752520334.22762,1752702159.8631,181825.63547992703,b'128',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870907.51838684
217264,1752520334.2405105,1752702159.8631077,181825.6225972176,b'142',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870894.62780952
219734,1752520334.2619336,1752702159.8631148,181825.6011812687,b'126',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870873.2047081
217274,1752520334.2754157,1752702159.8631208,181825.58770513532,b'133',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870859.7226143
219744,1752520334.2962408,1752702159.863128,181825.56688714027,b'122',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870838.89746666
217284,1752520334.310303,1752702159.8631356,181825.55283260343,b'127',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870824.83530045
219754,1752520334.3306868,1752702159.8631754,181825.5324885845,b'136',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870804.4514656
217294,1752520334.3451853,1752702159.8631828,181825.51799750328,b'143',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870789.9529934
219764,1752520334.3650537,1752702159.8631911,181825.4981374741,b'142',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870770.08461952
217304,1752520334.3800583,1752702159.863197,181825.48313879967,b'136',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870755.07998466
219774,1752520334.3994956,1752702159.8632064,181825.4637107849,b'134',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870735.64267159
217314,1752520334.4149013,1752702159.863214,181825.4483127594,b'136',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870720.23701668
219784,1752520334.43389,1752702159.8632202,181825.42933034897,b'127',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870701.24816895
217324,1752520334.4498315,1752702159.8632276,181825.41339612007,b'127',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870685.3067875
219794,1752520334.4682207,1752702159.8632348,181825.3950140476,b'142',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870666.91756248
217334,1752520334.48475,1752702159.8632424,181825.37849235532,b'130',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870650.3882408
219804,1752520334.5026605,1752702159.8632488,181825.36058831212,b'128',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870632.47776031
217344,1752520334.519801,1752702159.8632555,181825.34345507625,b'122',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870615.33737183
219814,1752520334.5370708,1752702159.8632636,181825.32619285583,b'136',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870598.06752205
217354,1752520334.5548587,1752702159.8632708,181825.30841207504,b'121',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870580.2795887
219824,1752520334.571484,1752702159.863278,181825.2917940617,b'128',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870563.65418434
217364,1752520334.5901573,1752702159.863284,181825.2731268406,b'128',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870544.9810028
219834,1752520334.605938,1752702159.8632915,181825.25735354424,b'131',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870529.20031548
217374,1752520334.6251922,1752702159.863299,181825.2381067276,b'129',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870509.94610786
219844,1752520334.640368,1752702159.863306,181825.2229380608,b'140',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870494.77028847
217384,1752520334.6604075,1752702159.863314,181825.20290637016,b'128',27396.697057578487,3.428417640323916,True,True,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870474.73073006
219854,1752520334.6770537,1752702159.8633506,181825.18629717827,b'141',27396.697057578487,3.428417640323916,False,False,batch_consumer-sts-3_20250716_214312_339288.csv,True,1752702205.1351383,181870458.08458328
