index,delay_sec,size_bytes,recv_timestamp,sent_timestamp,topic
1772,0.12818551063537598,81,1748878406.0647123,1748878405.9365268,synth_2
1773,0.1282505989074707,94,1748878406.6925297,1748878406.564279,synth_3
1774,0.17189693450927734,101,1748878407.3641798,1748878407.192283,synth_4
1775,0.16566085815429688,81,1748878408.0296714,1748878407.8640106,synth_5
1776,0.16563749313354492,87,1748878408.6955655,1748878408.529928,synth_6
1777,0.16532564163208008,87,1748878409.3611422,1748878409.1958165,synth_7
1778,0.12802815437316895,99,1748878409.9895933,1748878409.861565,synth_8
1779,0.12824440002441406,79,1748878410.6177058,1748878410.4894614,synth_9
1780,0.17150402069091797,94,1748878411.289035,1748878411.117531,synth_0
1781,0.16544699668884277,80,1748878411.9544353,1748878411.7889884,synth_1
1782,0.12802910804748535,101,1748878412.5828793,1748878412.4548502,synth_2
1783,0.12827491760253906,81,1748878413.2110305,1748878413.0827556,synth_3
1784,0.17201662063598633,101,1748878413.8828971,1748878413.7108805,synth_4
1785,0.1655583381652832,88,1748878414.548035,1748878414.3824766,synth_5
1786,0.1652371883392334,87,1748878415.2132246,1748878415.0479875,synth_6
1787,0.1652507781982422,95,1748878415.8787465,1748878415.7134957,synth_7
1788,0.1282205581665039,100,1748878416.5072963,1748878416.3790758,synth_8
1789,0.12823200225830078,80,1748878417.135276,1748878417.007044,synth_9
1790,0.17200732231140137,95,1748878417.8071308,1748878417.6351235,synth_0
1791,0.16527009010314941,102,1748878418.4720907,1748878418.3068206,synth_1
1792,0.12769675254821777,88,1748878419.1006813,1748878418.9729846,synth_2
1793,0.12748456001281738,95,1748878419.7282841,1748878419.6007996,synth_3
1794,0.17097949981689453,101,1748878420.3992698,1748878420.2282903,synth_4
1795,0.16577744483947754,102,1748878421.0654697,1748878420.8996923,synth_5
1796,0.16518259048461914,81,1748878421.730746,1748878421.5655634,synth_6
1797,0.16553831100463867,88,1748878422.3965437,1748878422.2310054,synth_7
1798,0.12878775596618652,93,1748878423.0255342,1748878422.8967464,synth_8
1799,0.1277780532836914,86,1748878423.6532881,1748878423.52551,synth_9
1800,0.17112469673156738,87,1748878424.3244913,1748878424.1533666,synth_0
1801,0.16549444198608398,81,1748878424.990175,1748878424.8246806,synth_1
1802,0.12788987159729004,99,1748878425.6181383,1748878425.4902484,synth_2
1803,0.12816858291625977,86,1748878426.2464256,1748878426.118257,synth_3
1804,0.1715075969696045,87,1748878426.917849,1748878426.7463415,synth_4
1805,0.16561174392700195,80,1748878427.5836723,1748878427.4180605,synth_5
1806,0.16541838645935059,86,1748878428.2490513,1748878428.083633,synth_6
1807,0.16542291641235352,101,1748878428.9147792,1748878428.7493563,synth_7
1808,0.12813973426818848,88,1748878429.5429459,1748878429.4148061,synth_8
1809,0.1279163360595703,95,1748878430.1707387,1748878430.0428224,synth_9
1810,0.17236042022705078,92,1748878430.8432164,1748878430.670856,synth_0
1811,0.1660616397857666,81,1748878431.5088441,1748878431.3427825,synth_1
1812,0.12809419631958008,94,1748878432.1370103,1748878432.0089161,synth_2
1813,0.12802410125732422,92,1748878432.764995,1748878432.636971,synth_3
1814,0.17125296592712402,81,1748878433.4363456,1748878433.2650926,synth_4
1815,0.16567492485046387,93,1748878434.102298,1748878433.936623,synth_5
1816,0.16582131385803223,79,1748878434.7682908,1748878434.6024694,synth_6
1817,0.16567587852478027,88,1748878435.4340043,1748878435.2683284,synth_7
1818,0.12824511528015137,95,1748878436.0623887,1748878435.9341435,synth_8
1819,0.12792634963989258,95,1748878436.6900752,1748878436.5621488,synth_9
1820,0.17168211936950684,80,1748878437.3616803,1748878437.1899981,synth_0
1821,0.16573548316955566,101,1748878438.0272799,1748878437.8615444,synth_1
1822,0.12811827659606934,87,1748878438.6555812,1748878438.527463,synth_2
1823,0.1279151439666748,88,1748878439.2831259,1748878439.1552107,synth_3
1824,0.17185091972351074,94,1748878439.9550235,1748878439.7831726,synth_4
1825,0.16612839698791504,100,1748878440.621041,1748878440.4549127,synth_5
1826,0.16547846794128418,102,1748878441.2866087,1748878441.1211302,synth_6
1827,0.16565442085266113,88,1748878441.9525652,1748878441.7869108,synth_7
1828,0.12794804573059082,80,1748878442.580811,1748878442.452863,synth_8
1829,0.12796735763549805,99,1748878443.2087138,1748878443.0807464,synth_9
1830,0.1714932918548584,102,1748878443.8805516,1748878443.7090583,synth_0
1831,0.16556525230407715,88,1748878444.54601,1748878444.3804448,synth_1
1832,0.1284501552581787,80,1748878445.1745236,1748878445.0460734,synth_2
1833,0.12773942947387695,93,1748878445.8022354,1748878445.674496,synth_3
1834,0.1720905303955078,93,1748878446.4746234,1748878446.302533,synth_4
1835,0.1655445098876953,92,1748878447.1401923,1748878446.9746478,synth_5
1836,0.16567707061767578,80,1748878447.805964,1748878447.640287,synth_6
1837,0.16555404663085938,94,1748878448.4717896,1748878448.3062356,synth_7
1838,0.1282820701599121,99,1748878449.100562,1748878448.97228,synth_8
1839,0.12831759452819824,93,1748878449.7285955,1748878449.600278,synth_9
1840,0.17143940925598145,95,1748878450.399887,1748878450.2284477,synth_0
1841,0.16599678993225098,80,1748878451.065858,1748878450.899861,synth_1
1842,0.1279902458190918,87,1748878451.6938066,1748878451.5658164,synth_2
1843,0.1279311180114746,93,1748878452.3216822,1748878452.193751,synth_3
1844,0.17170977592468262,93,1748878452.9934168,1748878452.821707,synth_4
1845,0.1661527156829834,93,1748878453.659955,1748878453.4938023,synth_5
1846,0.16556954383850098,91,1748878454.3252437,1748878454.1596742,synth_6
1847,0.1656348705291748,79,1748878454.9910343,1748878454.8253994,synth_7
1848,0.12813806533813477,93,1748878455.6193812,1748878455.4912431,synth_8
1849,0.12834596633911133,100,1748878456.2477307,1748878456.1193848,synth_9
1850,0.1715991497039795,80,1748878456.919327,1748878456.7477279,synth_0
1851,0.16575384140014648,94,1748878457.5848083,1748878457.4190545,synth_1
1852,0.12817692756652832,101,1748878458.2133176,1748878458.0851407,synth_2
1853,0.12813830375671387,93,1748878458.8414953,1748878458.713357,synth_3
1854,0.17129850387573242,80,1748878459.5128553,1748878459.3415568,synth_4
1855,0.16584062576293945,98,1748878460.1788766,1748878460.013036,synth_5
1856,0.16578912734985352,80,1748878460.8446336,1748878460.6788445,synth_6
1857,0.165818452835083,97,1748878461.5101385,1748878461.34432,synth_7
1858,0.1280210018157959,80,1748878462.1383953,1748878462.0103743,synth_8
1859,0.12816691398620605,93,1748878462.7664976,1748878462.6383307,synth_9
1860,0.17208123207092285,94,1748878463.438375,1748878463.2662938,synth_0
1861,0.16614556312561035,87,1748878464.1041021,1748878463.9379566,synth_1
1862,0.1294698715209961,88,1748878464.7335005,1748878464.6040306,synth_2
1863,0.12829375267028809,81,1748878465.3612342,1748878465.2329404,synth_3
1864,0.17136216163635254,94,1748878466.0325923,1748878465.8612301,synth_4
1865,0.1656348705291748,80,1748878466.697933,1748878466.532298,synth_5
1866,0.16555190086364746,84,1748878467.363456,1748878467.197904,synth_6
1867,0.16543865203857422,80,1748878468.0291712,1748878467.8637326,synth_7
1868,0.12804937362670898,80,1748878468.6575892,1748878468.5295398,synth_8
1869,0.12824630737304688,78,1748878469.2859182,1748878469.157672,synth_9
1870,0.17154169082641602,86,1748878469.9573085,1748878469.7857668,synth_0
1871,0.1657395362854004,86,1748878470.623054,1748878470.4573145,synth_1
1872,0.1281905174255371,88,1748878471.2511547,1748878471.1229641,synth_2
1873,0.12801527976989746,88,1748878471.879092,1748878471.7510767,synth_3
1874,0.17175650596618652,87,1748878472.5509403,1748878472.3791838,synth_4
1875,0.1656343936920166,87,1748878473.2166631,1748878473.0510287,synth_5
1876,0.16546154022216797,91,1748878473.8823326,1748878473.716871,synth_6
1877,0.16545343399047852,81,1748878474.547911,1748878474.3824575,synth_7
1878,0.12799286842346191,97,1748878475.1760848,1748878475.048092,synth_8
1879,0.12817597389221191,79,1748878475.8042407,1748878475.6760647,synth_9
1880,0.17192649841308594,81,1748878476.4760222,1748878476.3040957,synth_0
1881,0.16582155227661133,95,1748878477.1414819,1748878476.9756603,synth_1
1882,0.12787652015686035,102,1748878477.7693212,1748878477.6414447,synth_2
1883,0.12811779975891113,81,1748878478.3974915,1748878478.2693737,synth_3
1884,0.17186570167541504,88,1748878479.3029673,1748878479.1311016,synth_4
1885,0.2298572063446045,95,1748878480.0324767,1748878479.8026195,synth_5
1886,0.1948533058166504,88,1748878480.6630938,1748878480.4682405,synth_6
1887,0.1657085418701172,100,1748878481.2995646,1748878481.133856,synth_7
1888,0.12830758094787598,80,1748878481.9277823,1748878481.7994747,synth_8
1889,0.12820219993591309,81,1748878482.5558674,1748878482.4276652,synth_9
1890,0.1718893051147461,80,1748878483.2276282,1748878483.055739,synth_0
1891,0.16595768928527832,88,1748878483.8934865,1748878483.7275288,synth_1
1892,0.12816834449768066,80,1748878484.5216212,1748878484.393453,synth_2
1893,0.1280970573425293,99,1748878485.1496267,1748878485.0215297,synth_3
1894,0.171783447265625,86,1748878485.8215501,1748878485.6497667,synth_4
1895,0.16556072235107422,87,1748878486.487395,1748878486.3218343,synth_5
1896,0.16560792922973633,79,1748878487.1530967,1748878486.9874887,synth_6
1897,0.17054057121276855,80,1748878487.8236835,1748878487.653143,synth_7
1898,0.12804269790649414,88,1748878488.447114,1748878488.3190713,synth_8
1899,0.12846755981445312,79,1748878489.0757282,1748878488.9472606,synth_9
