t_bucket,throughput,p99_pods_max_ms,p99_pods_med_ms,viol_rate,lag_skew_ratio,true_p99_ms,true_max_ms,true_viol_rate,hot_part_p99_ms,run_id,label,traffic_mode,skew_fraction,skew_partitions,hot_partition,hot_consumer
2130,,,,,,450351.2725830078,450383.3332061768,0.32989690721649484,450375.65201520926,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2160,,,,,,455388.08385849,455467.5569534302,0.33707865168539325,455452.2041964531,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2190,,,,,,462025.9624433518,462026.28326416016,0.37349397590361444,462026.2089276314,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2220,,,,,,467080.64205646515,467206.0306072235,0.44,467165.50097465515,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2250,,,,,,474797.268447876,474840.4297828674,0.32608695652173914,474830.94377517694,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2280,,,,,,478591.5110206604,478622.5137710571,0.39325842696629215,478614.76308345795,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2310,,,,,,482571.1683106423,482584.9769115448,0.2972972972972973,482582.1395277977,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2340,,,,,,491698.51826429367,491710.00599861145,0.4270833333333333,491706.3782930374,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2370,,,,,,498726.72879219055,498766.0541534424,0.4,498752.1160507202,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2400,,,,,,503206.81278944016,503238.2233142853,0.3918918918918919,503228.32684755325,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2430,,,,,,507351.63462162024,507369.0550327301,0.4177215189873418,507363.47156763077,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
